Timestamp,Student ID,Violation
2026-02-15 15:28:05,24261A0545,harshith,Talking Detected
2026-02-15 15:28:05,24261A0545,harshith,Talking Detected
2026-02-15 15:28:05,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Tab Switch / Browser Leave
2026-02-15 15:28:06,24261A0545,harshith,Tab Switch / Browser Leave
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:06,24261A0545,harshith,Talking Detected
2026-02-15 15:28:07,24261A0545,harshith,Talking Detected
2026-02-15 15:28:07,24261A0545,harshith,Talking Detected
2026-02-15 15:28:07,24261A0545,harshith,Talking Detected
2026-02-15 15:28:07,24261A0545,harshith,Talking Detected
2026-02-15 15:28:08,24261A0545,harshith,Talking Detected
2026-02-15 15:28:08,24261A0545,harshith,Talking Detected
2026-02-15 15:28:08,24261A0545,harshith,Talking Detected
